Theta [deg.]     Phi[deg.]       Abs(Gain)[dBi]      Abs(Theta)[dBi]   Phase(Theta)[deg.]     Abs(Phi)[dBi]      Phase(Phi)[deg.]      Ax.Ratio[dB]    
  73.000         180.000            6.269e-01          -2.748e+01             117.531           6.201e-01             286.307           4.000e+01     
  72.000         180.000            6.282e-01          -2.751e+01             117.941           6.215e-01             286.080           4.000e+01     
  71.000         180.000            6.306e-01          -2.755e+01             118.345           6.240e-01             285.849           4.000e+01     
  70.000         180.000            6.341e-01          -2.759e+01             118.743           6.275e-01             285.616           4.000e+01     
  69.000         180.000            6.385e-01          -2.764e+01             119.135           6.321e-01             285.380           4.000e+01     
  68.000         180.000            6.440e-01          -2.768e+01             119.521           6.376e-01             285.141           4.000e+01     
  67.000         180.000            6.504e-01          -2.773e+01             119.901           6.441e-01             284.901           4.000e+01     
  66.000         180.000            6.578e-01          -2.778e+01             120.275           6.516e-01             284.658           3.985e+01     
  65.000         180.000            6.661e-01          -2.784e+01             120.643           6.599e-01             284.414           3.958e+01     
  64.000         180.000            6.753e-01          -2.789e+01             121.004           6.692e-01             284.167           3.934e+01     
  63.000         180.000            6.853e-01          -2.795e+01             121.359           6.794e-01             283.919           3.911e+01     
  62.000         180.000            6.962e-01          -2.802e+01             121.708           6.904e-01             283.670           3.890e+01     
  61.000         180.000            7.079e-01          -2.808e+01             122.050           7.022e-01             283.420           3.870e+01     
  60.000         180.000            7.204e-01          -2.815e+01             122.385           7.148e-01             283.169           3.852e+01     
  59.000         180.000            7.337e-01          -2.822e+01             122.715           7.281e-01             282.916           3.836e+01     
  58.000         180.000            7.476e-01          -2.829e+01             123.037           7.422e-01             282.664           3.821e+01     
  57.000         180.000            7.623e-01          -2.837e+01             123.353           7.569e-01             282.410           3.807e+01     
  56.000         180.000            7.775e-01          -2.845e+01             123.663           7.724e-01             282.157           3.795e+01     
  55.000         180.000            7.935e-01          -2.853e+01             123.966           7.884e-01             281.903           3.784e+01     
  54.000         180.000            8.100e-01          -2.862e+01             124.263           8.050e-01             281.650           3.774e+01     
  53.000         180.000            8.270e-01          -2.871e+01             124.553           8.222e-01             281.397           3.765e+01     
  52.000         180.000            8.446e-01          -2.881e+01             124.837           8.399e-01             281.145           3.758e+01     
  51.000         180.000            8.626e-01          -2.891e+01             125.114           8.580e-01             280.894           3.751e+01     
  50.000         180.000            8.811e-01          -2.901e+01             125.385           8.766e-01             280.643           3.746e+01     
  49.000         180.000            9.000e-01          -2.912e+01             125.649           8.956e-01             280.394           3.742e+01     
  48.000         180.000            9.192e-01          -2.923e+01             125.908           9.150e-01             280.147           3.739e+01     
  47.000         180.000            9.388e-01          -2.935e+01             126.160           9.347e-01             279.900           3.737e+01     
  46.000         180.000            9.587e-01          -2.947e+01             126.406           9.547e-01             279.656           3.736e+01     
  45.000         180.000            9.788e-01          -2.959e+01             126.646           9.750e-01             279.414           3.736e+01     
  44.000         180.000            9.991e-01          -2.972e+01             126.880           9.954e-01             279.174           3.738e+01     
  43.000         180.000            1.020e+00          -2.986e+01             127.107           1.016e+00             278.936           3.740e+01     
  42.000         180.000            1.040e+00          -3.000e+01             127.330           1.037e+00             278.701           3.744e+01     
  41.000         180.000            1.061e+00          -3.015e+01             127.546           1.058e+00             278.469           3.748e+01     
  40.000         180.000            1.082e+00          -3.030e+01             127.756           1.079e+00             278.240           3.754e+01     
  39.000         180.000            1.103e+00          -3.046e+01             127.961           1.100e+00             278.014           3.760e+01     
  38.000         180.000            1.124e+00          -3.063e+01             128.161           1.121e+00             277.791           3.768e+01     
  37.000         180.000            1.145e+00          -3.080e+01             128.355           1.142e+00             277.572           3.777e+01     
  36.000         180.000            1.165e+00          -3.098e+01             128.544           1.163e+00             277.357           3.787e+01     
  35.000         180.000            1.186e+00          -3.117e+01             128.727           1.183e+00             277.145           3.798e+01     
  34.000         180.000            1.206e+00          -3.137e+01             128.906           1.204e+00             276.937           3.810e+01     
  33.000         180.000            1.227e+00          -3.157e+01             129.079           1.224e+00             276.734           3.823e+01     
  32.000         180.000            1.247e+00          -3.178e+01             129.248           1.245e+00             276.535           3.837e+01     
  31.000         180.000            1.267e+00          -3.200e+01             129.412           1.265e+00             276.341           3.853e+01     
  30.000         180.000            1.286e+00          -3.223e+01             129.572           1.284e+00             276.151           3.870e+01     
  29.000         180.000            1.306e+00          -3.247e+01             129.728           1.304e+00             275.966           3.888e+01     
  28.000         180.000            1.325e+00          -3.272e+01             129.879           1.323e+00             275.786           3.908e+01     
  27.000         180.000            1.343e+00          -3.299e+01             130.026           1.341e+00             275.611           3.929e+01     
  26.000         180.000            1.361e+00          -3.326e+01             130.170           1.360e+00             275.441           3.951e+01     
  25.000         180.000            1.379e+00          -3.355e+01             130.310           1.378e+00             275.277           3.975e+01     
  24.000         180.000            1.396e+00          -3.385e+01             130.447           1.395e+00             275.118           4.000e+01     
  23.000         180.000            1.413e+00          -3.417e+01             130.580           1.412e+00             274.965           4.000e+01     
  22.000         180.000            1.429e+00          -3.450e+01             130.712           1.428e+00             274.817           4.000e+01     
  21.000         180.000            1.445e+00          -3.485e+01             130.841           1.444e+00             274.675           4.000e+01     
  20.000         180.000            1.460e+00          -3.522e+01             130.968           1.459e+00             274.539           4.000e+01     
  19.000         180.000            1.475e+00          -3.561e+01             131.094           1.474e+00             274.409           4.000e+01     
  18.000         180.000            1.489e+00          -3.602e+01             131.219           1.488e+00             274.286           4.000e+01     
  17.000         180.000            1.502e+00          -3.646e+01             131.344           1.501e+00             274.168           4.000e+01     
  16.000         180.000            1.515e+00          -3.692e+01             131.470           1.514e+00             274.056           4.000e+01     
  15.000         180.000            1.527e+00          -3.741e+01             131.598           1.526e+00             273.951           4.000e+01     
  14.000         180.000            1.538e+00          -3.794e+01             131.729           1.537e+00             273.853           4.000e+01     
  13.000         180.000            1.548e+00          -3.851e+01             131.865           1.548e+00             273.760           4.000e+01     
  12.000         180.000            1.558e+00          -3.912e+01             132.009           1.558e+00             273.675           4.000e+01     
  11.000         180.000            1.567e+00          -3.978e+01             132.162           1.567e+00             273.596           4.000e+01     
  10.000         180.000            1.576e+00          -4.050e+01             132.330           1.576e+00             273.523           4.000e+01     
   9.000         180.000            1.583e+00          -4.129e+01             132.517           1.583e+00             273.458           4.000e+01     
   8.000         180.000            1.590e+00          -4.216e+01             132.731           1.590e+00             273.399           4.000e+01     
   7.000         180.000            1.596e+00          -4.314e+01             132.983           1.596e+00             273.347           4.000e+01     
   6.000         180.000            1.602e+00          -4.424e+01             133.292           1.601e+00             273.301           4.000e+01     
   5.000         180.000            1.606e+00          -4.551e+01             133.685           1.606e+00             273.263           4.000e+01     
   4.000         180.000            1.610e+00          -4.701e+01             134.215           1.610e+00             273.231           4.000e+01     
   3.000         180.000            1.613e+00          -4.881e+01             134.977           1.613e+00             273.206           4.000e+01     
   2.000         180.000            1.615e+00          -5.110e+01             136.188           1.615e+00             273.189           4.000e+01     
   1.000         180.000            1.616e+00          -5.422e+01             138.433           1.616e+00             273.178           4.000e+01     
