Theta [deg.]     Phi[deg.]       Abs(Gain)[dBi]      Abs(Theta)[dBi]   Phase(Theta)[deg.]     Abs(Phi)[dBi]      Phase(Phi)[deg.]      Ax.Ratio[dB]    
  65.000           0.000            6.594e-01          -2.786e+01             120.360           6.533e-01             104.385           3.973e+01     
  66.000           0.000            6.510e-01          -2.780e+01             120.013           6.448e-01             104.629           3.998e+01     
  67.000           0.000            6.436e-01          -2.774e+01             119.661           6.373e-01             104.872           4.000e+01     
  68.000           0.000            6.371e-01          -2.768e+01             119.302           6.307e-01             105.113           4.000e+01     
  69.000           0.000            6.316e-01          -2.763e+01             118.938           6.251e-01             105.352           4.000e+01     
  70.000           0.000            6.271e-01          -2.758e+01             118.568           6.205e-01             105.588           4.000e+01     
  71.000           0.000            6.236e-01          -2.753e+01             118.192           6.169e-01             105.822           4.000e+01     
  72.000           0.000            6.211e-01          -2.748e+01             117.810           6.144e-01             106.053           4.000e+01     
  73.000           0.000            6.197e-01          -2.744e+01             117.423           6.129e-01             106.281           4.000e+01     
  74.000           0.000            6.193e-01          -2.740e+01             117.031           6.125e-01             106.506           4.000e+01     
  75.000           0.000            6.201e-01          -2.736e+01             116.633           6.132e-01             106.728           4.000e+01     
  76.000           0.000            6.220e-01          -2.732e+01             116.231           6.150e-01             106.947           4.000e+01     
  77.000           0.000            6.250e-01          -2.728e+01             115.823           6.179e-01             107.163           4.000e+01     
  78.000           0.000            6.291e-01          -2.725e+01             115.411           6.220e-01             107.375           4.000e+01     
  79.000           0.000            6.344e-01          -2.722e+01             114.994           6.272e-01             107.584           4.000e+01     
  80.000           0.000            6.408e-01          -2.719e+01             114.573           6.336e-01             107.789           4.000e+01     
  81.000           0.000            6.484e-01          -2.716e+01             114.148           6.412e-01             107.991           4.000e+01     
  82.000           0.000            6.571e-01          -2.714e+01             113.719           6.499e-01             108.188           4.000e+01     
  83.000           0.000            6.671e-01          -2.712e+01             113.286           6.598e-01             108.382           4.000e+01     
  84.000           0.000            6.782e-01          -2.710e+01             112.849           6.709e-01             108.572           4.000e+01     
  85.000           0.000            6.904e-01          -2.708e+01             112.409           6.832e-01             108.759           4.000e+01     
  86.000           0.000            7.039e-01          -2.706e+01             111.966           6.966e-01             108.941           4.000e+01     
  87.000           0.000            7.185e-01          -2.704e+01             111.521           7.113e-01             109.119           4.000e+01     
  88.000           0.000            7.343e-01          -2.703e+01             111.072           7.271e-01             109.293           4.000e+01     
  89.000           0.000            7.513e-01          -2.702e+01             110.621           7.440e-01             109.464           4.000e+01     
  90.000           0.000            7.694e-01          -2.700e+01             110.168           7.622e-01             109.630           4.000e+01     
  91.000           0.000            7.887e-01          -2.700e+01             109.714           7.815e-01             109.792           4.000e+01     
  92.000           0.000            8.091e-01          -2.699e+01             109.257           8.019e-01             109.951           4.000e+01     
  93.000           0.000            8.307e-01          -2.698e+01             108.799           8.235e-01             110.105           4.000e+01     
  94.000           0.000            8.534e-01          -2.698e+01             108.340           8.462e-01             110.255           4.000e+01     
  95.000           0.000            8.772e-01          -2.698e+01             107.880           8.700e-01             110.401           4.000e+01     
  96.000           0.000            9.020e-01          -2.698e+01             107.420           8.949e-01             110.544           4.000e+01     
  97.000           0.000            9.280e-01          -2.698e+01             106.959           9.209e-01             110.682           4.000e+01     
  98.000           0.000            9.550e-01          -2.698e+01             106.498           9.480e-01             110.817           4.000e+01     
  99.000           0.000            9.830e-01          -2.699e+01             106.038           9.761e-01             110.948           4.000e+01     
 100.000           0.000            1.012e+00          -2.699e+01             105.578           1.005e+00             111.075           4.000e+01     
 101.000           0.000            1.042e+00          -2.700e+01             105.119           1.035e+00             111.199           4.000e+01     
 102.000           0.000            1.073e+00          -2.701e+01             104.661           1.066e+00             111.318           4.000e+01     
 103.000           0.000            1.105e+00          -2.703e+01             104.205           1.098e+00             111.435           4.000e+01     
 104.000           0.000            1.138e+00          -2.704e+01             103.750           1.131e+00             111.548           4.000e+01     
 105.000           0.000            1.172e+00          -2.706e+01             103.297           1.165e+00             111.657           4.000e+01     
 106.000           0.000            1.206e+00          -2.708e+01             102.846           1.200e+00             111.763           4.000e+01     
 107.000           0.000            1.242e+00          -2.710e+01             102.397           1.235e+00             111.866           4.000e+01     
 108.000           0.000            1.278e+00          -2.712e+01             101.952           1.271e+00             111.966           4.000e+01     
 109.000           0.000            1.315e+00          -2.714e+01             101.509           1.308e+00             112.062           4.000e+01     
 110.000           0.000            1.352e+00          -2.717e+01             101.069           1.346e+00             112.156           4.000e+01     
 111.000           0.000            1.391e+00          -2.720e+01             100.633           1.385e+00             112.247           4.000e+01     
 112.000           0.000            1.430e+00          -2.723e+01             100.200           1.424e+00             112.335           4.000e+01     
 113.000           0.000            1.469e+00          -2.726e+01              99.772           1.464e+00             112.420           4.000e+01     
 114.000           0.000            1.510e+00          -2.730e+01              99.347           1.504e+00             112.502           4.000e+01     
 115.000           0.000            1.550e+00          -2.734e+01              98.927           1.545e+00             112.582           4.000e+01     
 116.000           0.000            1.592e+00          -2.738e+01              98.511           1.586e+00             112.660           4.000e+01     
 117.000           0.000            1.633e+00          -2.743e+01              98.100           1.628e+00             112.735           4.000e+01     
 118.000           0.000            1.676e+00          -2.747e+01              97.693           1.670e+00             112.808           4.000e+01     
 119.000           0.000            1.718e+00          -2.752e+01              97.292           1.713e+00             112.878           4.000e+01     
 120.000           0.000            1.761e+00          -2.758e+01              96.896           1.756e+00             112.946           4.000e+01     
 121.000           0.000            1.804e+00          -2.763e+01              96.506           1.799e+00             113.013           4.000e+01     
 122.000           0.000            1.848e+00          -2.769e+01              96.121           1.843e+00             113.077           4.000e+01     
 123.000           0.000            1.891e+00          -2.776e+01              95.742           1.887e+00             113.139           4.000e+01     
 124.000           0.000            1.935e+00          -2.782e+01              95.369           1.931e+00             113.200           4.000e+01     
 125.000           0.000            1.979e+00          -2.789e+01              95.002           1.975e+00             113.258           3.996e+01     
 126.000           0.000            2.023e+00          -2.797e+01              94.641           2.019e+00             113.315           3.989e+01     
 127.000           0.000            2.067e+00          -2.805e+01              94.286           2.063e+00             113.370           3.983e+01     
 128.000           0.000            2.112e+00          -2.813e+01              93.938           2.108e+00             113.424           3.978e+01     
 129.000           0.000            2.156e+00          -2.821e+01              93.596           2.152e+00             113.476           3.974e+01     
 130.000           0.000            2.200e+00          -2.831e+01              93.261           2.196e+00             113.527           3.972e+01     
 131.000           0.000            2.244e+00          -2.840e+01              92.932           2.240e+00             113.576           3.970e+01     
 132.000           0.000            2.288e+00          -2.850e+01              92.611           2.284e+00             113.624           3.970e+01     
 133.000           0.000            2.331e+00          -2.861e+01              92.296           2.328e+00             113.670           3.971e+01     
 134.000           0.000            2.375e+00          -2.871e+01              91.989           2.371e+00             113.715           3.972e+01     
 135.000           0.000            2.418e+00          -2.883e+01              91.688           2.415e+00             113.759           3.975e+01     
 136.000           0.000            2.461e+00          -2.895e+01              91.395           2.458e+00             113.802           3.979e+01     
 137.000           0.000            2.503e+00          -2.908e+01              91.109           2.500e+00             113.843           3.984e+01     
 138.000           0.000            2.545e+00          -2.921e+01              90.830           2.542e+00             113.884           3.990e+01     
 139.000           0.000            2.587e+00          -2.935e+01              90.559           2.584e+00             113.923           3.997e+01     
 140.000           0.000            2.628e+00          -2.949e+01              90.295           2.625e+00             113.961           4.000e+01     
 141.000           0.000            2.669e+00          -2.964e+01              90.039           2.666e+00             113.998           4.000e+01     
 142.000           0.000            2.709e+00          -2.980e+01              89.790           2.706e+00             114.034           4.000e+01     
 143.000           0.000            2.748e+00          -2.997e+01              89.549           2.746e+00             114.070           4.000e+01     
 144.000           0.000            2.787e+00          -3.014e+01              89.316           2.785e+00             114.104           4.000e+01     
 145.000           0.000            2.826e+00          -3.033e+01              89.090           2.824e+00             114.137           4.000e+01     
 146.000           0.000            2.863e+00          -3.052e+01              88.873           2.861e+00             114.169           4.000e+01     
 147.000           0.000            2.900e+00          -3.072e+01              88.663           2.898e+00             114.200           4.000e+01     
 148.000           0.000            2.936e+00          -3.093e+01              88.462           2.935e+00             114.230           4.000e+01     
 149.000           0.000            2.972e+00          -3.115e+01              88.269           2.970e+00             114.260           4.000e+01     
 150.000           0.000            3.006e+00          -3.138e+01              88.084           3.005e+00             114.288           4.000e+01     
 151.000           0.000            3.040e+00          -3.162e+01              87.907           3.039e+00             114.316           4.000e+01     
 152.000           0.000            3.073e+00          -3.187e+01              87.740           3.072e+00             114.343           4.000e+01     
 153.000           0.000            3.105e+00          -3.214e+01              87.581           3.104e+00             114.368           4.000e+01     
 154.000           0.000            3.136e+00          -3.242e+01              87.431           3.135e+00             114.393           4.000e+01     
 155.000           0.000            3.166e+00          -3.271e+01              87.290           3.165e+00             114.417           4.000e+01     
 156.000           0.000            3.195e+00          -3.302e+01              87.159           3.194e+00             114.440           4.000e+01     
 157.000           0.000            3.224e+00          -3.335e+01              87.038           3.223e+00             114.462           4.000e+01     
 158.000           0.000            3.251e+00          -3.370e+01              86.928           3.250e+00             114.483           4.000e+01     
 159.000           0.000            3.277e+00          -3.406e+01              86.828           3.276e+00             114.504           4.000e+01     
 160.000           0.000            3.302e+00          -3.445e+01              86.739           3.301e+00             114.523           4.000e+01     
 161.000           0.000            3.326e+00          -3.486e+01              86.663           3.325e+00             114.542           4.000e+01     
 162.000           0.000            3.349e+00          -3.530e+01              86.600           3.348e+00             114.559           4.000e+01     
 163.000           0.000            3.370e+00          -3.576e+01              86.551           3.370e+00             114.576           4.000e+01     
 164.000           0.000            3.391e+00          -3.626e+01              86.517           3.390e+00             114.592           4.000e+01     
 165.000           0.000            3.410e+00          -3.679e+01              86.501           3.410e+00             114.607           4.000e+01     
 166.000           0.000            3.429e+00          -3.737e+01              86.504           3.428e+00             114.621           4.000e+01     
 167.000           0.000            3.446e+00          -3.799e+01              86.530           3.445e+00             114.634           4.000e+01     
 168.000           0.000            3.462e+00          -3.866e+01              86.582           3.461e+00             114.646           4.000e+01     
 169.000           0.000            3.476e+00          -3.940e+01              86.666           3.476e+00             114.657           4.000e+01     
 170.000           0.000            3.490e+00          -4.022e+01              86.791           3.489e+00             114.667           4.000e+01     
 171.000           0.000            3.502e+00          -4.112e+01              86.965           3.502e+00             114.676           4.000e+01     
 172.000           0.000            3.513e+00          -4.213e+01              87.208           3.513e+00             114.684           4.000e+01     
 173.000           0.000            3.522e+00          -4.329e+01              87.544           3.522e+00             114.691           4.000e+01     
 174.000           0.000            3.531e+00          -4.462e+01              88.017           3.531e+00             114.698           4.000e+01     
 175.000           0.000            3.538e+00          -4.621e+01              88.708           3.538e+00             114.703           4.000e+01     
 176.000           0.000            3.544e+00          -4.815e+01              89.774           3.544e+00             114.708           4.000e+01     
 177.000           0.000            3.548e+00          -5.067e+01              91.588           3.548e+00             114.711           4.000e+01     
 178.000           0.000            3.552e+00          -5.419e+01              95.265           3.552e+00             114.713           4.000e+01     
 179.000           0.000            3.554e+00          -6.003e+01             106.181           3.554e+00             114.715           4.000e+01     
 180.000           0.000            3.554e+00          -6.844e+01             184.123           3.554e+00             114.715           4.000e+01     
 179.000         180.000            3.554e+00          -5.902e+01              64.786           3.554e+00             294.715           4.000e+01     
 178.000         180.000            3.552e+00          -5.364e+01              73.919           3.552e+00             294.713           4.000e+01     
 177.000         180.000            3.549e+00          -5.030e+01              77.257           3.549e+00             294.711           4.000e+01     
 176.000         180.000            3.544e+00          -4.788e+01              78.985           3.544e+00             294.707           4.000e+01     
 175.000         180.000            3.539e+00          -4.599e+01              80.049           3.538e+00             294.703           4.000e+01     
 174.000         180.000            3.532e+00          -4.445e+01              80.778           3.531e+00             294.698           4.000e+01     
 173.000         180.000            3.523e+00          -4.314e+01              81.316           3.523e+00             294.691           4.000e+01     
 172.000         180.000            3.514e+00          -4.201e+01              81.737           3.514e+00             294.684           4.000e+01     
 171.000         180.000            3.503e+00          -4.102e+01              82.082           3.503e+00             294.676           4.000e+01     
 170.000         180.000            3.491e+00          -4.013e+01              82.375           3.491e+00             294.667           4.000e+01     
 169.000         180.000            3.478e+00          -3.933e+01              82.631           3.477e+00             294.657           4.000e+01     
