Theta[deg.]      Phi[deg.]       Abs(Gain)[dBi]      Abs(Theta)[dBi]    Phase(Theta)[deg.]    Abs(Phi)[dBi]     Phase(Phi)[deg.]      Ax.Ratio[dB]    
  65.000          90.000           -2.964e+00          -2.964e+00              98.574          -5.565e+01             184.576           4.000e+01     
  66.000          90.000           -3.273e+00          -3.273e+00              98.246          -5.562e+01             184.508           4.000e+01     
  67.000          90.000           -3.596e+00          -3.596e+00              97.877          -5.558e+01             184.439           4.000e+01     
  68.000          90.000           -3.934e+00          -3.934e+00              97.461          -5.555e+01             184.370           4.000e+01     
  69.000          90.000           -4.289e+00          -4.289e+00              96.993          -5.552e+01             184.301           4.000e+01     
  70.000          90.000           -4.660e+00          -4.660e+00              96.466          -5.549e+01             184.232           4.000e+01     
  71.000          90.000           -5.051e+00          -5.051e+00              95.871          -5.547e+01             184.165           4.000e+01     
  72.000          90.000           -5.461e+00          -5.461e+00              95.199          -5.545e+01             184.100           4.000e+01     
  73.000          90.000           -5.893e+00          -5.893e+00              94.438          -5.543e+01             184.037           4.000e+01     
  74.000          90.000           -6.348e+00          -6.348e+00              93.574          -5.541e+01             183.977           4.000e+01     
  75.000          90.000           -6.829e+00          -6.829e+00              92.588          -5.540e+01             183.921           4.000e+01     
  76.000          90.000           -7.337e+00          -7.337e+00              91.460          -5.539e+01             183.868           4.000e+01     
  77.000          90.000           -7.875e+00          -7.875e+00              90.163          -5.538e+01             183.819           4.000e+01     
  78.000          90.000           -8.446e+00          -8.446e+00              88.662          -5.538e+01             183.775           4.000e+01     
  79.000          90.000           -9.051e+00          -9.051e+00              86.917          -5.538e+01             183.736           4.000e+01     
  80.000          90.000           -9.693e+00          -9.693e+00              84.873          -5.538e+01             183.702           4.000e+01     
  81.000          90.000           -1.037e+01          -1.037e+01              82.462          -5.538e+01             183.674           4.000e+01     
  82.000          90.000           -1.109e+01          -1.109e+01              79.595          -5.538e+01             183.653           4.000e+01     
  83.000          90.000           -1.185e+01          -1.185e+01              76.161          -5.539e+01             183.637           4.000e+01     
  84.000          90.000           -1.264e+01          -1.264e+01              72.019          -5.541e+01             183.629           4.000e+01     
  85.000          90.000           -1.345e+01          -1.345e+01              67.001          -5.542e+01             183.628           4.000e+01     
  86.000          90.000           -1.425e+01          -1.425e+01              60.918          -5.544e+01             183.635           4.000e+01     
  87.000          90.000           -1.500e+01          -1.500e+01              53.600          -5.546e+01             183.650           4.000e+01     
  88.000          90.000           -1.563e+01          -1.563e+01              44.970          -5.548e+01             183.672           4.000e+01     
  89.000          90.000           -1.607e+01          -1.607e+01              35.158          -5.551e+01             183.704           4.000e+01     
  90.000          90.000           -1.624e+01          -1.624e+01              24.598          -5.554e+01             183.745           4.000e+01     
  91.000          90.000           -1.611e+01          -1.611e+01              13.974          -5.557e+01             183.795           4.000e+01     
  92.000          90.000           -1.570e+01          -1.570e+01               3.995          -5.561e+01             183.854           4.000e+01     
  93.000          90.000           -1.508e+01          -1.508e+01             355.144          -5.565e+01             183.923           4.000e+01     
  94.000          90.000           -1.433e+01          -1.433e+01             347.597          -5.569e+01             184.003           4.000e+01     
  95.000          90.000           -1.352e+01          -1.352e+01             341.303          -5.573e+01             184.093           4.000e+01     
  96.000          90.000           -1.270e+01          -1.270e+01             336.098          -5.578e+01             184.194           4.000e+01     
  97.000          90.000           -1.189e+01          -1.189e+01             331.796          -5.583e+01             184.306           4.000e+01     
  98.000          90.000           -1.112e+01          -1.112e+01             328.222          -5.589e+01             184.430           4.000e+01     
  99.000          90.000           -1.038e+01          -1.038e+01             325.232          -5.595e+01             184.566           4.000e+01     
 100.000          90.000           -9.678e+00          -9.678e+00             322.709          -5.601e+01             184.713           4.000e+01     
 101.000          90.000           -9.017e+00          -9.017e+00             320.562          -5.607e+01             184.874           4.000e+01     
 102.000          90.000           -8.393e+00          -8.394e+00             318.718          -5.614e+01             185.047           4.000e+01     
 103.000          90.000           -7.805e+00          -7.805e+00             317.124          -5.621e+01             185.233           4.000e+01     
 104.000          90.000           -7.249e+00          -7.249e+00             315.733          -5.628e+01             185.433           4.000e+01     
 105.000          90.000           -6.723e+00          -6.723e+00             314.513          -5.636e+01             185.646           4.000e+01     
 106.000          90.000           -6.224e+00          -6.224e+00             313.434          -5.644e+01             185.874           4.000e+01     
 107.000          90.000           -5.752e+00          -5.752e+00             312.475          -5.652e+01             186.116           4.000e+01     
 108.000          90.000           -5.303e+00          -5.303e+00             311.617          -5.661e+01             186.372           4.000e+01     
 109.000          90.000           -4.876e+00          -4.876e+00             310.846          -5.670e+01             186.643           4.000e+01     
 110.000          90.000           -4.468e+00          -4.469e+00             310.149          -5.679e+01             186.930           4.000e+01     
