Theta[deg.]      Phi[deg.]        Abs(Gain)[dBi]      Abs(Theta)[dBi]     Phase(Theta)[deg.]  Abs(Phi)[dBi]       Phase(Phi)[deg.]    Ax.Ratio[dB]    
  65.000          90.000           -1.574e+00          -1.574e+00              83.743          -4.180e+01             175.638           4.000e+01     
  66.000          90.000           -1.886e+00          -1.887e+00              83.894          -4.185e+01             176.167           3.997e+01     
  67.000          90.000           -2.215e+00          -2.215e+00              84.037          -4.190e+01             176.689           3.969e+01     
  68.000          90.000           -2.561e+00          -2.561e+00              84.172          -4.194e+01             177.204           3.939e+01     
  69.000          90.000           -2.926e+00          -2.927e+00              84.298          -4.199e+01             177.712           3.908e+01     
  70.000          90.000           -3.312e+00          -3.313e+00              84.414          -4.203e+01             178.212           3.874e+01     
  71.000          90.000           -3.721e+00          -3.722e+00              84.519          -4.207e+01             178.705           3.837e+01     
  72.000          90.000           -4.154e+00          -4.155e+00              84.611          -4.211e+01             179.190           3.799e+01     
  73.000          90.000           -4.615e+00          -4.616e+00              84.689          -4.215e+01             179.668           3.757e+01     
  74.000          90.000           -5.107e+00          -5.108e+00              84.751          -4.219e+01             180.138           3.712e+01     
  75.000          90.000           -5.632e+00          -5.633e+00              84.794          -4.223e+01             180.600           3.664e+01     
  76.000          90.000           -6.196e+00          -6.197e+00              84.815          -4.227e+01             181.054           3.612e+01     
  77.000          90.000           -6.803e+00          -6.805e+00              84.810          -4.230e+01             181.501           3.556e+01     
  78.000          90.000           -7.461e+00          -7.463e+00              84.772          -4.234e+01             181.939           3.494e+01     
  79.000          90.000           -8.177e+00          -8.179e+00              84.696          -4.237e+01             182.368           3.427e+01     
  80.000          90.000           -8.963e+00          -8.965e+00              84.569          -4.240e+01             182.790           3.353e+01     
  81.000          90.000           -9.830e+00          -9.833e+00              84.377          -4.243e+01             183.203           3.271e+01     
  82.000          90.000           -1.080e+01          -1.080e+01              84.098          -4.247e+01             183.608           3.178e+01     
  83.000          90.000           -1.189e+01          -1.190e+01              83.698          -4.249e+01             184.004           3.074e+01     
  84.000          90.000           -1.315e+01          -1.315e+01              83.121          -4.252e+01             184.391           2.954e+01     
  85.000          90.000           -1.462e+01          -1.463e+01              82.272          -4.255e+01             184.770           2.813e+01     
  86.000          90.000           -1.639e+01          -1.640e+01              80.966          -4.257e+01             185.140           2.644e+01     
  87.000          90.000           -1.862e+01          -1.863e+01              78.806          -4.260e+01             185.500           2.434e+01     
  88.000          90.000           -2.158e+01          -2.161e+01              74.748          -4.262e+01             185.852           2.162e+01     
  89.000          90.000           -2.591e+01          -2.601e+01              65.037          -4.265e+01             186.194           1.804e+01     
  90.000          90.000           -3.229e+01          -3.271e+01              27.339          -4.267e+01             186.527           1.969e+01     
  91.000          90.000           -2.981e+01          -3.004e+01             309.834          -4.269e+01             186.850           1.431e+01     
  92.000          90.000           -2.406e+01          -2.412e+01             288.624          -4.271e+01             187.164           1.876e+01     
  93.000          90.000           -2.035e+01          -2.037e+01             281.877          -4.272e+01             187.467           2.238e+01     
  94.000          90.000           -1.771e+01          -1.772e+01             278.709          -4.274e+01             187.761           2.502e+01     
  95.000          90.000           -1.567e+01          -1.568e+01             276.906          -4.275e+01             188.044           2.708e+01     
  96.000          90.000           -1.402e+01          -1.403e+01             275.760          -4.277e+01             188.317           2.875e+01     
  97.000          90.000           -1.263e+01          -1.264e+01             274.978          -4.278e+01             188.579           3.016e+01     
  98.000          90.000           -1.144e+01          -1.144e+01             274.419          -4.279e+01             188.830           3.138e+01     
  99.000          90.000           -1.039e+01          -1.039e+01             274.004          -4.280e+01             189.071           3.244e+01     
 100.000          90.000           -9.460e+00          -9.462e+00             273.688          -4.281e+01             189.300           3.339e+01     
 101.000          90.000           -8.621e+00          -8.623e+00             273.442          -4.282e+01             189.517           3.425e+01     
 102.000          90.000           -7.859e+00          -7.861e+00             273.246          -4.283e+01             189.723           3.502e+01     
 103.000          90.000           -7.162e+00          -7.163e+00             273.089          -4.283e+01             189.916           3.573e+01     
 104.000          90.000           -6.520e+00          -6.521e+00             272.960          -4.283e+01             190.097           3.638e+01     
 105.000          90.000           -5.925e+00          -5.926e+00             272.853          -4.284e+01             190.266           3.698e+01     
 106.000          90.000           -5.372e+00          -5.373e+00             272.762          -4.284e+01             190.422           3.754e+01     
 107.000          90.000           -4.856e+00          -4.857e+00             272.685          -4.284e+01             190.565           3.806e+01     
 108.000          90.000           -4.372e+00          -4.373e+00             272.618          -4.283e+01             190.695           3.855e+01     
 109.000          90.000           -3.917e+00          -3.918e+00             272.558          -4.283e+01             190.811           3.900e+01     
 110.000          90.000           -3.489e+00          -3.490e+00             272.505          -4.283e+01             190.913           3.943e+01     
 111.000          90.000           -3.085e+00          -3.085e+00             272.455          -4.282e+01             191.001           3.983e+01     
 112.000          90.000           -2.702e+00          -2.703e+00             272.409          -4.281e+01             191.075           4.000e+01     
 113.000          90.000           -2.340e+00          -2.340e+00             272.365          -4.280e+01             191.135           4.000e+01     
 114.000          90.000           -1.996e+00          -1.996e+00             272.322          -4.279e+01             191.179           4.000e+01     
 115.000          90.000           -1.669e+00          -1.669e+00             272.279          -4.278e+01             191.209           4.000e+01     
 116.000          90.000           -1.358e+00          -1.358e+00             272.236          -4.276e+01             191.224           4.000e+01     
 117.000          90.000           -1.061e+00          -1.062e+00             272.193          -4.275e+01             191.223           4.000e+01     
 118.000          90.000           -7.790e-01          -7.793e-01             272.149          -4.273e+01             191.206           4.000e+01     
 119.000          90.000           -5.098e-01          -5.101e-01             272.103          -4.271e+01             191.174           4.000e+01     
 120.000          90.000           -2.530e-01          -2.532e-01             272.055          -4.269e+01             191.126           4.000e+01     
 121.000          90.000           -7.837e-03          -8.072e-03             272.006          -4.267e+01             191.062           4.000e+01     
 122.000          90.000            2.262e-01           2.260e-01             271.954          -4.265e+01             190.982           4.000e+01     
 123.000          90.000            4.497e-01           4.495e-01             271.899          -4.262e+01             190.886           4.000e+01     
 124.000          90.000            6.631e-01           6.629e-01             271.842          -4.259e+01             190.774           4.000e+01     
 125.000          90.000            8.668e-01           8.666e-01             271.782          -4.256e+01             190.646           4.000e+01     
 126.000          90.000            1.061e+00           1.061e+00             271.719          -4.253e+01             190.501           4.000e+01     
 127.000          90.000            1.247e+00           1.247e+00             271.652          -4.250e+01             190.340           4.000e+01     
 128.000          90.000            1.424e+00           1.424e+00             271.583          -4.247e+01             190.163           4.000e+01     
 129.000          90.000            1.592e+00           1.592e+00             271.509          -4.243e+01             189.970           4.000e+01     
 130.000          90.000            1.753e+00           1.753e+00             271.432          -4.240e+01             189.762           4.000e+01     
 131.000          90.000            1.906e+00           1.906e+00             271.352          -4.236e+01             189.537           4.000e+01     
 132.000          90.000            2.051e+00           2.051e+00             271.268          -4.232e+01             189.297           4.000e+01     
 133.000          90.000            2.189e+00           2.189e+00             271.179          -4.227e+01             189.042           4.000e+01     
 134.000          90.000            2.320e+00           2.320e+00             271.087          -4.223e+01             188.772           4.000e+01     
 135.000          90.000            2.444e+00           2.443e+00             270.991          -4.218e+01             188.487           4.000e+01     
 136.000          90.000            2.560e+00           2.560e+00             270.891          -4.214e+01             188.188           4.000e+01     
 137.000          90.000            2.671e+00           2.671e+00             270.787          -4.209e+01             187.874           4.000e+01     
 138.000          90.000            2.774e+00           2.774e+00             270.678          -4.204e+01             187.547           4.000e+01     
