Theta[deg.]      Phi[deg.]       Abs(Gain)[dBi]      Abs(Theta)[dBi]     Phase(Theta)[deg.]   Abs(Phi)[dBi]     Phase(Phi)[deg.]      Ax.Ratio[dB]    
  64.000           0.000           -9.206e-01          -2.955e+01             121.642          -9.265e-01              89.125           3.402e+01     
  65.000           0.000           -9.422e-01          -2.957e+01             121.871          -9.481e-01              89.618           3.409e+01     
  66.000           0.000           -9.625e-01          -2.960e+01             122.101          -9.685e-01              90.101           3.416e+01     
  67.000           0.000           -9.817e-01          -2.964e+01             122.331          -9.876e-01              90.575           3.423e+01     
  68.000           0.000           -9.997e-01          -2.968e+01             122.562          -1.006e+00              91.039           3.431e+01     
  69.000           0.000           -1.016e+00          -2.972e+01             122.794          -1.022e+00              91.492           3.440e+01     
  70.000           0.000           -1.032e+00          -2.978e+01             123.028          -1.038e+00              91.933           3.449e+01     
  71.000           0.000           -1.046e+00          -2.984e+01             123.263          -1.052e+00              92.362           3.458e+01     
  72.000           0.000           -1.060e+00          -2.990e+01             123.500          -1.065e+00              92.778           3.468e+01     
  73.000           0.000           -1.072e+00          -2.997e+01             123.739          -1.077e+00              93.181           3.478e+01     
  74.000           0.000           -1.082e+00          -3.005e+01             123.980          -1.088e+00              93.570           3.488e+01     
  75.000           0.000           -1.092e+00          -3.013e+01             124.224          -1.097e+00              93.945           3.499e+01     
  76.000           0.000           -1.101e+00          -3.022e+01             124.471          -1.106e+00              94.306           3.510e+01     
  77.000           0.000           -1.108e+00          -3.032e+01             124.722          -1.113e+00              94.651           3.521e+01     
  78.000           0.000           -1.114e+00          -3.042e+01             124.975          -1.119e+00              94.981           3.533e+01     
  79.000           0.000           -1.119e+00          -3.052e+01             125.233          -1.124e+00              95.296           3.544e+01     
  80.000           0.000           -1.123e+00          -3.063e+01             125.495          -1.128e+00              95.594           3.556e+01     
  81.000           0.000           -1.126e+00          -3.075e+01             125.762          -1.130e+00              95.876           3.568e+01     
  82.000           0.000           -1.127e+00          -3.087e+01             126.034          -1.132e+00              96.141           3.580e+01     
  83.000           0.000           -1.128e+00          -3.100e+01             126.311          -1.132e+00              96.389           3.592e+01     
  84.000           0.000           -1.127e+00          -3.114e+01             126.594          -1.132e+00              96.620           3.604e+01     
  85.000           0.000           -1.126e+00          -3.128e+01             126.883          -1.130e+00              96.834           3.616e+01     
  86.000           0.000           -1.123e+00          -3.143e+01             127.179          -1.127e+00              97.030           3.629e+01     
  87.000           0.000           -1.119e+00          -3.158e+01             127.483          -1.123e+00              97.209           3.641e+01     
  88.000           0.000           -1.114e+00          -3.174e+01             127.794          -1.118e+00              97.370           3.653e+01     
  89.000           0.000           -1.108e+00          -3.190e+01             128.114          -1.112e+00              97.513           3.666e+01     
  90.000           0.000           -1.101e+00          -3.207e+01             128.442          -1.104e+00              97.638           3.678e+01     
  91.000           0.000           -1.093e+00          -3.225e+01             128.781          -1.096e+00              97.746           3.691e+01     
  92.000           0.000           -1.084e+00          -3.243e+01             129.131          -1.087e+00              97.836           3.704e+01     
  93.000           0.000           -1.073e+00          -3.262e+01             129.492          -1.076e+00              97.908           3.716e+01     
  94.000           0.000           -1.062e+00          -3.281e+01             129.866          -1.065e+00              97.963           3.729e+01     
