Theta[deg.],Gain(S),Gain(M)
105,-0.9362,-0.74896
104,-0.9603,-0.76824
103,-0.9832,-0.78656
102,-1.005,-0.804
101,-1.026,-0.8208
100,-1.045,-0.836
99,-1.063,-0.8504
98,-1.081,-0.8648
97,-1.097,-0.8776
96,-1.111,-0.8888
95,-1.125,-0.9
94,-1.138,-0.9104
93,-1.149,-0.9192
92,-1.16,-0.928
91,-1.169,-0.9352
90,-1.177,-0.9416
89,-1.184,-0.9472
88,-1.19,-0.952
87,-1.195,-0.956
86,-1.198,-0.9584
85,-1.201,-0.9608
84,-1.202,-0.9616
83,-1.203,-0.9624
82,-1.202,-0.9616
81,-1.2,-0.96
80,-1.196,-0.9568
79,-1.192,-0.9536
78,-1.187,-0.9496
77,-1.18,-0.944
76,-1.172,-0.9376
75,-1.163,-0.9304
74,-1.153,-0.9224
73,-1.141,-0.9128
72,-1.128,-0.9024
71,-1.114,-0.8912
70,-1.099,-0.8792
69,-1.083,-0.8664
68,-1.065,-0.852
67,-1.046,-0.8368
66,-1.026,-0.8208
65,-1.005,-0.804
64,-0.9822,-0.78576
63,-0.9585,-0.7668
62,-0.9336,-0.74688
61,-0.9074,-0.72592
60,-0.8802,-0.70416
59,-0.8517,-0.68136
58,-0.8222,-0.65776
57,-0.7916,-0.63328
56,-0.7599,-0.60792
55,-0.7272,-0.58176
54,-0.6935,-0.5548
53,-0.6588,-0.52704
52,-0.6233,-0.49864
51,-0.5868,-0.46944
50,-0.5496,-0.43968
49,-0.5116,-0.40928
48,-0.4729,-0.37832
47,-0.4335,-0.3468
46,-0.3936,-0.31488
45,-0.3531,-0.28248
44,-0.3121,-0.24968
43,-0.2708,-0.21664
42,-0.2291,-0.18328
41,-0.1871,-0.14968
40,-0.145,-0.116
39,-0.1027,-0.08216
38,-0.06034,-0.048272
37,-0.01801,-0.014408
36,0.02424,0.019392
35,0.06633,0.053064
34,0.1082,0.08656
33,0.1497,0.11976
32,0.1909,0.15272
31,0.2317,0.18536
30,0.2719,0.21752
29,0.3116,0.24928
28,0.3506,0.28048
27,0.3888,0.31104
26,0.4263,0.34104
