Column1.1,Column1.2
               Frequency                         ,S11
                   1.804                     ,-11.544578
                   1.808                     ,-11.52564
                   1.812                     ,-11.505179
                   1.816                      ,-11.483455
               1.8200001                     ,-11.460763
                   1.824                     ,-11.437427
               1.8279999                     ,-11.413786
                   1.832                     ,-11.390184
                   1.836                     ,-11.36696
                    1.84                     ,-11.34444
                   1.844                     ,-11.322917
                   1.848                     ,-11.302655
                   1.852                     ,-11.283871
               1.8559999                     ,-11.266728
                    1.86                     ,-11.25134
                   1.864                      ,-11.237755
                   1.868                     ,-11.225962
                   1.872                     ,-11.215888
                   1.876                     ,-11.207399
                    1.88                      ,-11.200306
               1.8839999                     ,-11.194371
                   1.888                     ,-11.189311
                   1.892                      ,-11.18481
                   1.896                     ,-11.18053
                     1.9                     ,-11.176125
                   1.904                     ,-11.171247
                   1.908                     ,-11.165568
               1.9119999                      ,-11.15879
                   1.916                     ,-11.150658
                    1.92                     ,-11.140967
                   1.924                     ,-11.129583
                   1.928                     ,-11.116436
                   1.932                     ,-11.101539
                   1.936                     ,-11.084976
               1.9400001                      ,-11.066912
                   1.944                      ,-11.047577
                   1.948                     ,-11.027264
                   1.952                     ,-11.006319
                   1.956                     ,-10.985128
                    1.96                     ,-10.964098
                   1.964                      ,-10.943648
               1.9680001                     ,-10.924192
                   1.972                     ,-10.906122
                   1.976                     ,-10.889796
                    1.98                     ,-10.875523
                   1.984                     ,-10.863554
                   1.988                     ,-10.85407
                   1.992                     ,-10.847174
               1.9960001                      ,-10.84289
                       2                      ,-10.841151
               2.0039999                     ,-10.841808
               2.0079999                     ,-10.844625
               2.0120001                     ,-10.849289
                   2.016                      ,-10.855415
                    2.02                     ,-10.862557
               2.0239999                     ,-10.87022
               2.0280001                     ,-10.877883
               2.0320001                     ,-10.885008
                   2.036                     ,-10.891069
                    2.04                     ,-10.895569
               2.0439999                     ,-10.898062
               2.0480001                     ,-10.898174
                   2.052                     ,-10.895622
                   2.056                     ,-10.890227
               2.0599999                     ,-10.881932
               2.0639999                     ,-10.870792
               2.0680001                     ,-10.856994
                   2.072                     ,-10.840837
                   2.076                     ,-10.822726
               2.0799999                     ,-10.803156
               2.0840001                     ,-10.782691
               2.0880001                     ,-10.76194
                   2.092                      ,-10.741531
                   2.096                     ,-10.722089
               2.0999999                      ,-10.704199
               2.1040001                     ,-10.688391
                   2.108                     ,-10.675107
                   2.112                     ,-10.664679
               2.1159999                     ,-10.657312
               2.1199999                     ,-10.653053
               2.1240001                     ,-10.651792
                   2.128                      ,-10.65323
                   2.132                     ,-10.656883
               2.1359999                     ,-10.662072
               2.1400001                     ,-10.667924
               2.1440001                     ,-10.673381
                   2.148                     ,-10.677213
                   2.152                     ,-10.678053
               2.1559999                     ,-10.674425
               2.1600001                     ,-10.664799
                   2.164                     ,-10.647641
                   2.168                     ,-10.62149
               2.1719999                     ,-10.585021
               2.1760001                     ,-10.537127
               2.1800001                     ,-10.47697
                   2.184                     ,-10.40405
                   2.188                     ,-10.318241
               2.1919999                      ,-10.219799
               2.1960001                     ,-10.109365
                     2.2                     ,-9.9879366
                   2.204                     ,-9.8568177
               2.2079999                     ,-9.7175648
               2.2119999                     ,-9.5719163
               2.2160001                     ,-9.4217256
                    2.22                     ,-9.2688954
                   2.224                     ,-9.1153186
               2.2279999                     ,-8.9628336
               2.2320001                      ,-8.8131838
               2.2360001                     ,-8.6679907
                    2.24                     ,-8.5287354
                   2.244                     ,-8.3967495
               2.2479999                     ,-8.2732159
               2.2520001                     ,-8.1591623
                   2.256                     ,-8.0554745
                    2.26                     ,-7.9628994
               2.2639999                     ,-7.8820537
               2.2679999                     ,-7.8134356
               2.2720001                      ,-7.75743
                   2.276                     ,-7.7143198
                    2.28                     ,-7.6842937
               2.2839999                      ,-7.6674499
               2.2880001                      ,-7.6638045
               2.2920001                     ,-7.6732959
                   2.296                     ,-7.6957882
                     2.3                     ,-7.7310751
               2.3039999                     ,-7.7788831
               2.3080001                     ,-7.8388726
                   2.312                     ,-7.9106409
                   2.316                     ,-7.9937253
               2.3199999                     ,-8.0876044
               2.3239999                     ,-8.1917026
               2.3280001                     ,-8.3053923
                   2.332                     ,-8.4280034
                   2.336                     ,-8.5588265
               2.3399999                     ,-8.6971224
               2.3440001                     ,-8.8421341
                   2.348                     ,-8.9931006
                   2.352                     ,-9.1492667
               2.3559999                     ,-9.3099031
               2.3599999                     ,-9.4743251
               2.3640001                     ,-9.6419059
                   2.368                     ,-9.8121019
                   2.372                     ,-9.9844626
               2.3759999                       ,-10.158655
               2.3800001                     ,-10.334468
               2.3840001                     ,-10.51183
                   2.388                     ,-10.690807
                   2.392                     ,-10.871612
               2.3959999                     ,-11.054591
               2.4000001                     ,-11.240215
                   2.404                     ,-11.429074
                   2.408                     ,-11.62185
               2.4119999                     ,-11.819299
               2.4159999                     ,-12.022223
               2.4200001                     ,-12.231445
                   2.424                     ,-12.447777
                   2.428                     ,-12.671986
               2.4319999                     ,-12.904767
               2.4360001                     ,-13.146691
               2.4400001                     ,-13.398177
                   2.444                     ,-13.659431
                   2.448                     ,-13.930402
               2.4519999                     ,-14.210709
               2.4560001                     ,-14.499577
                    2.46                     ,-14.795745
                   2.464                     ,-15.097382
               2.4679999                     ,-15.401987
               2.4719999                     ,-15.706297
               2.4760001                     ,-16.00622
                    2.48                     ,-16.296794
                   2.484                     ,-16.572231
               2.4879999                      ,-16.826055
               2.4920001                     ,-17.05137
               2.4960001                     ,-17.241297
                     2.5                     ,-17.3895
               2.5039999                     ,-17.490818
               2.5079999                     ,-17.541829
               2.5120001                      ,-17.541263
                   2.516                     ,-17.490152
                    2.52                     ,-17.391675
               2.5239999                     ,-17.250746
               2.5280001                     ,-17.073448
               2.5320001                     ,-16.866418
                   2.536                     ,-16.636315
                    2.54                     ,-16.389402
               2.5439999                     ,-16.13129
               2.5480001                     ,-15.866804
                   2.552                     ,-15.599953
                   2.556                     ,-15.333972
               2.5599999                     ,-15.071398
               2.5639999                     ,-14.814167
               2.5680001                     ,-14.563716
                   2.572                     ,-14.321069
                   2.576                     ,-14.086926
               2.5799999                      ,-13.861735
               2.5840001                     ,-13.645744
               2.5880001                     ,-13.439055
                   2.592                     ,-13.241662
                   2.596                      ,-13.053482
               2.5999999                     ,-12.874376
               2.6040001                       ,-12.704169
                   2.608                     ,-12.542663
                   2.612                     ,-12.389643
               2.6159999                     ,-12.244888
               2.6199999                     ,-12.108169
               2.6240001                     ,-11.979256
                   2.628                     ,-11.857912
                   2.632                     ,-11.7439
               2.6359999                     ,-11.63697
               2.6400001                     ,-11.536869
               2.6440001                     ,-11.443327
