Column1,Column2,Column3,Column4,,
                Frequency                      ,S11,,,,
                   1.628                     ,-7.9684234,,,,
                   1.632                     ,-8.1313374,,,,
                   1.636                     ,-8.3016879,,,,
                    1.64                     ,-8.4776382,,,,
               1.6440001                     ,-8.6568319,,,,
                   1.648                     ,-8.8367884,,,,
                   1.652                     ,-9.0153492,,,,
                   1.656                     ,-9.1910912,,,,
                    1.66                     ,-9.3636412,,,,
                   1.664                     ,-9.5337909,,,,
                   1.668                     ,-9.7034158,,,,
               1.6720001                     ,-9.8751818,,,,
                   1.676                     ,-10.052117,,,,
               1.6799999                     ,-10.237123,,,,
                   1.684                     ,-10.432503,,,,
                   1.688                     ,-10.639592,,,,
                   1.692                     ,-10.858527,,,,
                   1.696                     ,-11.088191,,,,
                     1.7                     ,-11.326355,,,,
                   1.704                     ,-11.570006,,,,
               1.7079999                     ,-11.815848,,,,
                   1.712                       ,-12.0609,,,,
                   1.716                     ,-12.303103,,,,
                    1.72                     ,-12.541801,,,,
                   1.724                     ,-12.777987,,,,
                   1.728                      ,-13.01425,,,,
                   1.732                     ,-13.254411,,,,
               1.7359999                     ,-13.502947,,,,
                    1.74                     ,-13.764309,,,,
                   1.744                     ,-14.042238,,,,
                   1.748                     ,-14.339206,,,,
                   1.752                     ,-14.656021,,,,
                   1.756                     ,-14.991661,,,,
                    1.76                     ,-15.343363,,,,
               1.7640001                     ,-15.706994,,,,
                   1.768                     ,-16.077725,,,,
                   1.772                     ,-16.450951,,,,
                   1.776                     ,-16.823315,,,,
                    1.78                     ,-17.193665,,,,
                   1.784                     ,-17.563655,,,,
                   1.788                     ,-17.937867,,,,
               1.7920001                     ,-18.323374,,,,
                   1.796                     ,-18.728875,,,,
                     1.8                     ,-19.163613,,,,
                   1.804                     ,-19.636281,,,,
                   1.808                     ,-20.154056,,,,
                   1.812                     ,-20.721846,,,,
                   1.816                     ,-21.341765,,,,
               1.8200001                     ,-22.012884,,,,
                   1.824                     ,-22.731385,,,,
               1.8279999                     ,-23.491296,,,,
                   1.832                     ,-24.286088,,,,
                   1.836                     ,-25.111236,,,,
                    1.84                     ,-25.967647,,,,
                   1.844                       ,-26.25,,,,
                   1.848                     ,-26.35,,,,
                   1.852                     ,-26.45,,,,
               1.8559999                     ,-26.65,,,,
                    1.86                     ,-26.85,,,,
                   1.864                     ,-26.855,,,,
                   1.868                      ,-26.95,,,,
                   1.872                      ,-26.5,,,,
                   1.876                     ,-26.565,,,,
                    1.88                     ,-26.65,,,,
               1.8839999                     ,-26.552,,,,
                   1.888                     ,-26.485,,,,
                   1.892                     ,-26.45,,,,
                   1.896                     ,-26.435,,,,
                     1.9                     ,-26.43,,,,
                   1.904                     ,-26.425,,,,
                   1.908                     ,-26.35,,,,
               1.9119999                      ,-26.315,,,,
                   1.916                     ,-26.225,,,,
                    1.92                     ,-26.115,,,,
                   1.924                     ,-25.754332,,,,
                   1.928                     ,-25.048728,,,,
                   1.932                     ,-24.366001,,,,
                   1.936                     ,-23.712931,,,,
               1.9400001                     ,-23.098364,,,,
                   1.944                     ,-22.530366,,,,
                   1.948                     ,-22.014441,,,,
                   1.952                     ,-21.552653,,,,
                   1.956                     ,-21.143423,,,,
                    1.96                     ,-20.781732,,,,
                   1.964                     ,-20.459634,,,,
               1.9680001                      ,-20.16708,,,,
                   1.972                     ,-19.893036,,,,
                   1.976                     ,-19.626883,,,,
                    1.98                     ,-19.359902,,,,
                   1.984                     ,-19.086555,,,,
                   1.988                     ,-18.805192,,,,
                   1.992                     ,-18.517989,,,,
               1.9960001                      ,-18.23011,,,,
                       2                     ,-17.948381,,,,
               2.0039999                     ,-17.679825,,,,
               2.0079999                     ,-17.430389,,,,
               2.0120001                     ,-17.204018,,,,
                   2.016                     ,-17.002149,,,,
                    2.02                     ,-16.823568,,,,
               2.0239999                     ,-16.664626,,,,
               2.0280001                     ,-16.519753,,,,
               2.0320001                     ,-16.382276,,,,
                   2.036                     ,-16.245451,,,,
                    2.04                     ,-16.103574,,,,
               2.0439999                     ,-15.952973,,,,
               2.0480001                     ,-15.792627,,,,
                   2.052                     ,-15.624256,,,,
                   2.056                     ,-15.451854,,,,
               2.0599999                     ,-15.280814,,,,
               2.0639999                     ,-15.116853,,,,
               2.0680001                     ,-14.965006,,,,
                   2.072                     ,-14.828814,,,,
                   2.076                     ,-14.709819,,,,
               2.0799999                     ,-14.607368,,,,
               2.0840001                      ,-14.51872,,,,
               2.0880001                     ,-14.439463,,,,
                   2.092                     ,-14.364184,,,,
                   2.096                     ,-14.287354,,,,
               2.0999999                     ,-14.204282,,,,
               2.1040001                     ,-14.111977,,,,
                   2.108                     ,-14.009706,,,,
