Theta[deg.]      Phi[deg.]       Abs(Gain)[dBi]      Abs(Theta)[dBi]    Phase(Theta)[deg.]    Abs(Phi)[dBi]      Phase(Phi)[deg.]      Ax.Ratio[dB]    
  65.000          90.000           -2.546e+00          -2.546e+00             106.224          -4.788e+01             301.586           4.000e+01     
  66.000          90.000           -2.871e+00          -2.871e+00             106.214          -4.783e+01             302.027           4.000e+01     
  67.000          90.000           -3.211e+00          -3.211e+00             106.186          -4.778e+01             302.456           4.000e+01     
  68.000          90.000           -3.568e+00          -3.569e+00             106.137          -4.773e+01             302.874           4.000e+01     
  69.000          90.000           -3.944e+00          -3.944e+00             106.066          -4.769e+01             303.282           4.000e+01     
  70.000          90.000           -4.339e+00          -4.339e+00             105.970          -4.765e+01             303.679           4.000e+01     
  71.000          90.000           -4.756e+00          -4.756e+00             105.844          -4.761e+01             304.067           4.000e+01     
  72.000          90.000           -5.197e+00          -5.197e+00             105.684          -4.757e+01             304.446           4.000e+01     
  73.000          90.000           -5.663e+00          -5.664e+00             105.485          -4.753e+01             304.815           4.000e+01     
  74.000          90.000           -6.159e+00          -6.159e+00             105.241          -4.750e+01             305.176           4.000e+01     
  75.000          90.000           -6.687e+00          -6.687e+00             104.942          -4.746e+01             305.528           4.000e+01     
  76.000          90.000           -7.251e+00          -7.251e+00             104.577          -4.743e+01             305.872           4.000e+01     
  77.000          90.000           -7.856e+00          -7.857e+00             104.135          -4.740e+01             306.208           4.000e+01     
  78.000          90.000           -8.509e+00          -8.509e+00             103.595          -4.737e+01             306.536           4.000e+01     
  79.000          90.000           -9.215e+00          -9.216e+00             102.934          -4.734e+01             306.857           4.000e+01     
  80.000          90.000           -9.985e+00          -9.986e+00             102.118          -4.732e+01             307.171           4.000e+01     
  81.000          90.000           -1.083e+01          -1.083e+01             101.101          -4.729e+01             307.477           4.000e+01     
  82.000          90.000           -1.176e+01          -1.176e+01              99.816          -4.727e+01             307.776           4.000e+01     
  83.000          90.000           -1.280e+01          -1.280e+01              98.161          -4.725e+01             308.068           4.000e+01     
  84.000          90.000           -1.397e+01          -1.398e+01              95.979          -4.722e+01             308.353           3.867e+01     
  85.000          90.000           -1.531e+01          -1.531e+01              93.014          -4.720e+01             308.631           3.659e+01     
  86.000          90.000           -1.685e+01          -1.686e+01              88.820          -4.718e+01             308.902           3.415e+01     
  87.000          90.000           -1.864e+01          -1.865e+01              82.590          -4.716e+01             309.166           3.130e+01     
  88.000          90.000           -2.068e+01          -2.069e+01              72.792          -4.714e+01             309.424           2.802e+01     
  89.000          90.000           -2.278e+01          -2.280e+01              56.762          -4.712e+01             309.675           2.472e+01     
  90.000          90.000           -2.416e+01          -2.419e+01              32.286          -4.711e+01             309.918           2.300e+01     
  91.000          90.000           -2.371e+01          -2.373e+01               4.776          -4.709e+01             310.156           2.514e+01     
  92.000          90.000           -2.185e+01          -2.187e+01             344.086          -4.707e+01             310.386           3.034e+01     
  93.000          90.000           -1.973e+01          -1.973e+01             331.245          -4.706e+01             310.609           3.640e+01     
  94.000          90.000           -1.779e+01          -1.780e+01             323.290          -4.705e+01             310.826           4.000e+01     
  95.000          90.000           -1.612e+01          -1.612e+01             318.087          -4.703e+01             311.035           4.000e+01     
  96.000          90.000           -1.467e+01          -1.467e+01             314.489          -4.702e+01             311.238           4.000e+01     
  97.000          90.000           -1.341e+01          -1.341e+01             311.882          -4.701e+01             311.433           4.000e+01     
  98.000          90.000           -1.229e+01          -1.230e+01             309.921          -4.700e+01             311.621           4.000e+01     
  99.000          90.000           -1.130e+01          -1.130e+01             308.401          -4.699e+01             311.802           4.000e+01     
 100.000          90.000           -1.041e+01          -1.041e+01             307.195          -4.698e+01             311.975           4.000e+01     
 101.000          90.000           -9.594e+00          -9.595e+00             306.218          -4.697e+01             312.141           4.000e+01     
 102.000          90.000           -8.850e+00          -8.851e+00             305.413          -4.696e+01             312.299           4.000e+01     
 103.000          90.000           -8.166e+00          -8.166e+00             304.740          -4.695e+01             312.450           4.000e+01     
 104.000          90.000           -7.532e+00          -7.532e+00             304.172          -4.695e+01             312.592           4.000e+01     
 105.000          90.000           -6.942e+00          -6.942e+00             303.686          -4.694e+01             312.727           4.000e+01     
 106.000          90.000           -6.391e+00          -6.391e+00             303.267          -4.694e+01             312.853           4.000e+01     
 107.000          90.000           -5.874e+00          -5.874e+00             302.901          -4.694e+01             312.971           4.000e+01     
 108.000          90.000           -5.388e+00          -5.388e+00             302.581          -4.694e+01             313.081           4.000e+01     
 109.000          90.000           -4.929e+00          -4.929e+00             302.297          -4.694e+01             313.182           4.000e+01     
 110.000          90.000           -4.495e+00          -4.496e+00             302.045          -4.694e+01             313.274           4.000e+01     
 111.000          90.000           -4.084e+00          -4.084e+00             301.818          -4.694e+01             313.357           4.000e+01     
 112.000          90.000           -3.694e+00          -3.694e+00             301.614          -4.695e+01             313.431           4.000e+01     
 113.000          90.000           -3.322e+00          -3.322e+00             301.428          -4.696e+01             313.496           4.000e+01     
 114.000          90.000           -2.968e+00          -2.968e+00             301.258          -4.697e+01             313.551           4.000e+01     
 115.000          90.000           -2.630e+00          -2.630e+00             301.101          -4.698e+01             313.597           4.000e+01     
 116.000          90.000           -2.307e+00          -2.307e+00             300.956          -4.699e+01             313.632           4.000e+01     
 117.000          90.000           -1.998e+00          -1.998e+00             300.821          -4.700e+01             313.658           4.000e+01     
 118.000          90.000           -1.702e+00          -1.703e+00             300.694          -4.702e+01             313.672           4.000e+01     
 119.000          90.000           -1.419e+00          -1.419e+00             300.574          -4.704e+01             313.676           4.000e+01     
 120.000          90.000           -1.147e+00          -1.147e+00             300.461          -4.706e+01             313.669           4.000e+01     
 121.000          90.000           -8.860e-01          -8.861e-01             300.352          -4.709e+01             313.651           4.000e+01     
 122.000          90.000           -6.354e-01          -6.355e-01             300.247          -4.711e+01             313.621           4.000e+01     
 123.000          90.000           -3.946e-01          -3.946e-01             300.146          -4.714e+01             313.579           4.000e+01     
 124.000          90.000           -1.631e-01          -1.632e-01             300.047          -4.718e+01             313.525           4.000e+01     
 125.000          90.000            5.939e-02           5.931e-02             299.951          -4.721e+01             313.458           4.000e+01     
 126.000          90.000            2.733e-01           2.733e-01             299.857          -4.725e+01             313.377           4.000e+01     
 127.000          90.000            4.791e-01           4.790e-01             299.763          -4.730e+01             313.284           4.000e+01     
 128.000          90.000            6.770e-01           6.769e-01             299.671          -4.734e+01             313.176           4.000e+01     
 129.000          90.000            8.673e-01           8.672e-01             299.579          -4.739e+01             313.053           4.000e+01     
 130.000          90.000            1.050e+00           1.050e+00             299.487          -4.745e+01             312.916           4.000e+01     
 131.000          90.000            1.226e+00           1.226e+00             299.394          -4.751e+01             312.763           4.000e+01     
 132.000          90.000            1.395e+00           1.395e+00             299.302          -4.757e+01             312.593           4.000e+01     
 133.000          90.000            1.558e+00           1.558e+00             299.208          -4.764e+01             312.406           4.000e+01     
 134.000          90.000            1.714e+00           1.713e+00             299.114          -4.771e+01             312.201           4.000e+01     
