Theta[deg.]     Phi[deg.]         Abs(Gain)[dBi]      Abs(Theta)[dBi]    Phase(Theta)[deg.]   Abs(Phi)[dBi]      Phase(Phi)[deg.]     Ax.Ratio[dB]    
  65.000          90.000           -2.782e+00          -2.782e+00             103.709          -5.578e+01             310.061           4.000e+01     
  66.000          90.000           -3.103e+00          -3.103e+00             103.585          -5.571e+01             310.700           4.000e+01     
  67.000          90.000           -3.439e+00          -3.439e+00             103.436          -5.564e+01             311.323           4.000e+01     
  68.000          90.000           -3.792e+00          -3.792e+00             103.258          -5.558e+01             311.931           4.000e+01     
  69.000          90.000           -4.162e+00          -4.162e+00             103.047          -5.552e+01             312.526           4.000e+01     
  70.000          90.000           -4.551e+00          -4.551e+00             102.798          -5.546e+01             313.108           4.000e+01     
  71.000          90.000           -4.961e+00          -4.961e+00             102.507          -5.541e+01             313.679           4.000e+01     
  72.000          90.000           -5.393e+00          -5.393e+00             102.167          -5.536e+01             314.239           4.000e+01     
  73.000          90.000           -5.850e+00          -5.850e+00             101.769          -5.531e+01             314.788           4.000e+01     
  74.000          90.000           -6.335e+00          -6.335e+00             101.305          -5.526e+01             315.328           4.000e+01     
  75.000          90.000           -6.850e+00          -6.850e+00             100.762          -5.522e+01             315.860           4.000e+01     
  76.000          90.000           -7.399e+00          -7.399e+00             100.124          -5.518e+01             316.382           4.000e+01     
  77.000          90.000           -7.986e+00          -7.986e+00              99.372          -5.514e+01             316.897           4.000e+01     
  78.000          90.000           -8.616e+00          -8.616e+00              98.482          -5.510e+01             317.404           4.000e+01     
  79.000          90.000           -9.294e+00          -9.294e+00              97.418          -5.506e+01             317.904           4.000e+01     
  80.000          90.000           -1.003e+01          -1.003e+01              96.136          -5.502e+01             318.396           4.000e+01     
  81.000          90.000           -1.083e+01          -1.083e+01              94.575          -5.499e+01             318.882           4.000e+01     
  82.000          90.000           -1.170e+01          -1.170e+01              92.648          -5.495e+01             319.361           4.000e+01     
  83.000          90.000           -1.265e+01          -1.265e+01              90.233          -5.492e+01             319.834           4.000e+01     
  84.000          90.000           -1.370e+01          -1.370e+01              87.146          -5.489e+01             320.300           4.000e+01     
  85.000          90.000           -1.486e+01          -1.486e+01              83.117          -5.486e+01             320.760           4.000e+01     
  86.000          90.000           -1.613e+01          -1.614e+01              77.731          -5.483e+01             321.214           3.966e+01     
  87.000          90.000           -1.750e+01          -1.750e+01              70.371          -5.480e+01             321.661           3.777e+01     
  88.000          90.000           -1.888e+01          -1.888e+01              60.193          -5.477e+01             322.102           3.598e+01     
  89.000          90.000           -2.006e+01          -2.006e+01              46.402          -5.474e+01             322.537           3.472e+01     
  90.000          90.000           -2.070e+01          -2.070e+01              29.247          -5.471e+01             322.966           3.477e+01     
  91.000          90.000           -2.050e+01          -2.050e+01              11.144          -5.468e+01             323.388           3.679e+01     
  92.000          90.000           -1.956e+01          -1.956e+01             355.331          -5.465e+01             323.804           4.000e+01     
  93.000          90.000           -1.825e+01          -1.825e+01             343.215          -5.462e+01             324.213           4.000e+01     
  94.000          90.000           -1.686e+01          -1.686e+01             334.399          -5.460e+01             324.616           4.000e+01     
  95.000          90.000           -1.552e+01          -1.552e+01             327.996          -5.457e+01             325.012           4.000e+01     
  96.000          90.000           -1.429e+01          -1.429e+01             323.256          -5.455e+01             325.401           4.000e+01     
  97.000          90.000           -1.318e+01          -1.318e+01             319.661          -5.452e+01             325.783           4.000e+01     
  98.000          90.000           -1.216e+01          -1.216e+01             316.867          -5.450e+01             326.158           4.000e+01     
  99.000          90.000           -1.124e+01          -1.124e+01             314.649          -5.447e+01             326.526           4.000e+01     
 100.000          90.000           -1.040e+01          -1.040e+01             312.854          -5.445e+01             326.887           4.000e+01     
 101.000          90.000           -9.624e+00          -9.624e+00             311.377          -5.443e+01             327.240           4.000e+01     
 102.000          90.000           -8.909e+00          -8.909e+00             310.144          -5.441e+01             327.585           4.000e+01     
 103.000          90.000           -8.247e+00          -8.247e+00             309.103          -5.438e+01             327.923           4.000e+01     
 104.000          90.000           -7.630e+00          -7.631e+00             308.213          -5.437e+01             328.253           4.000e+01     
 105.000          90.000           -7.054e+00          -7.054e+00             307.446          -5.435e+01             328.575           4.000e+01     
 106.000          90.000           -6.514e+00          -6.514e+00             306.778          -5.433e+01             328.889           4.000e+01     
 107.000          90.000           -6.006e+00          -6.006e+00             306.193          -5.431e+01             329.195           4.000e+01     
 108.000          90.000           -5.527e+00          -5.527e+00             305.676          -5.430e+01             329.493           4.000e+01     
 109.000          90.000           -5.074e+00          -5.074e+00             305.216          -5.429e+01             329.782           4.000e+01     
 110.000          90.000           -4.645e+00          -4.645e+00             304.804          -5.427e+01             330.063           4.000e+01     
 111.000          90.000           -4.238e+00          -4.238e+00             304.434          -5.427e+01             330.336           4.000e+01     
 112.000          90.000           -3.850e+00          -3.850e+00             304.099          -5.426e+01             330.600           4.000e+01     
 113.000          90.000           -3.481e+00          -3.481e+00             303.795          -5.425e+01             330.855           4.000e+01     
 114.000          90.000           -3.128e+00          -3.128e+00             303.517          -5.425e+01             331.102           4.000e+01     
 115.000          90.000           -2.791e+00          -2.791e+00             303.261          -5.425e+01             331.340           4.000e+01     
 116.000          90.000           -2.469e+00          -2.469e+00             303.025          -5.425e+01             331.569           4.000e+01     
 117.000          90.000           -2.160e+00          -2.160e+00             302.806          -5.426e+01             331.789           4.000e+01     
 118.000          90.000           -1.865e+00          -1.865e+00             302.602          -5.427e+01             332.000           4.000e+01     
 119.000          90.000           -1.581e+00          -1.581e+00             302.412          -5.428e+01             332.203           4.000e+01     
 120.000          90.000           -1.308e+00          -1.308e+00             302.233          -5.429e+01             332.396           4.000e+01     
 121.000          90.000           -1.047e+00          -1.047e+00             302.063          -5.431e+01             332.580           4.000e+01     
 122.000          90.000           -7.949e-01          -7.950e-01             301.903          -5.433e+01             332.755           4.000e+01     
 123.000          90.000           -5.530e-01          -5.530e-01             301.750          -5.436e+01             332.921           4.000e+01     
 124.000          90.000           -3.202e-01          -3.202e-01             301.604          -5.439e+01             333.078           4.000e+01     
 125.000          90.000           -9.623e-02          -9.625e-02             301.464          -5.443e+01             333.225           4.000e+01     
 126.000          90.000            1.194e-01           1.193e-01             301.329          -5.447e+01             333.363           4.000e+01     
 127.000          90.000            3.269e-01           3.269e-01             301.198          -5.451e+01             333.491           4.000e+01     
 128.000          90.000            5.267e-01           5.267e-01             301.071          -5.457e+01             333.610           4.000e+01     
 129.000          90.000            7.190e-01           7.190e-01             300.947          -5.462e+01             333.718           4.000e+01     
 130.000          90.000            9.041e-01           9.041e-01             300.826          -5.469e+01             333.817           4.000e+01     
 131.000          90.000            1.082e+00           1.082e+00             300.707          -5.476e+01             333.905           4.000e+01     
 132.000          90.000            1.254e+00           1.254e+00             300.590          -5.483e+01             333.983           4.000e+01     
 133.000          90.000            1.419e+00           1.419e+00             300.474          -5.492e+01             334.050           4.000e+01     
 134.000          90.000            1.577e+00           1.577e+00             300.360          -5.501e+01             334.106           4.000e+01     
 135.000          90.000            1.730e+00           1.730e+00             300.246          -5.511e+01             334.151           4.000e+01     
 136.000          90.000            1.876e+00           1.876e+00             300.132          -5.522e+01             334.184           4.000e+01     
 137.000          90.000            2.016e+00           2.016e+00             300.019          -5.534e+01             334.204           4.000e+01     
 138.000          90.000            2.151e+00           2.151e+00             299.906          -5.547e+01             334.212           4.000e+01     
 139.000          90.000            2.280e+00           2.280e+00             299.792          -5.561e+01             334.206           4.000e+01     
 140.000          90.000            2.404e+00           2.404e+00             299.678          -5.575e+01             334.185           4.000e+01     
 141.000          90.000            2.522e+00           2.522e+00             299.564          -5.592e+01             334.149           4.000e+01     
 142.000          90.000            2.634e+00           2.634e+00             299.448          -5.609e+01             334.097           4.000e+01     
 143.000          90.000            2.742e+00           2.742e+00             299.332          -5.628e+01             334.027           4.000e+01     
 144.000          90.000            2.844e+00           2.844e+00             299.214          -5.648e+01             333.938           4.000e+01     
 145.000          90.000            2.942e+00           2.942e+00             299.095          -5.669e+01             333.827           4.000e+01     
 146.000          90.000            3.034e+00           3.034e+00             298.975          -5.693e+01             333.694           4.000e+01     
 147.000          90.000            3.121e+00           3.121e+00             298.853          -5.718e+01             333.535           4.000e+01     
