Theta[deg.]      Phi[deg.]       Abs(Gain)[dBi]     Abs(Theta)[dBi]    Phase(Theta)[deg.]     Abs(Phi)[dBi]     Phase(Phi)[deg.]      Ax.Ratio[dB]    
  65.000           0.000            6.972e-01          -2.999e+01             128.402           6.935e-01             106.007           3.908e+01     
  66.000           0.000            6.749e-01          -2.995e+01             127.967           6.712e-01             106.254           3.927e+01     
  67.000           0.000            6.538e-01          -2.991e+01             127.522           6.500e-01             106.499           3.947e+01     
  68.000           0.000            6.338e-01          -2.987e+01             127.066           6.299e-01             106.741           3.970e+01     
  69.000           0.000            6.149e-01          -2.984e+01             126.600           6.109e-01             106.980           3.994e+01     
  70.000           0.000            5.971e-01          -2.981e+01             126.123           5.932e-01             107.217           4.000e+01     
  71.000           0.000            5.806e-01          -2.978e+01             125.636           5.766e-01             107.450           4.000e+01     
  72.000           0.000            5.654e-01          -2.975e+01             125.139           5.613e-01             107.680           4.000e+01     
  73.000           0.000            5.514e-01          -2.973e+01             124.632           5.473e-01             107.907           4.000e+01     
  74.000           0.000            5.387e-01          -2.970e+01             124.115           5.346e-01             108.130           4.000e+01     
  75.000           0.000            5.274e-01          -2.968e+01             123.588           5.232e-01             108.349           4.000e+01     
  76.000           0.000            5.174e-01          -2.966e+01             123.052           5.132e-01             108.564           4.000e+01     
  77.000           0.000            5.088e-01          -2.965e+01             122.507           5.046e-01             108.775           4.000e+01     
  78.000           0.000            5.016e-01          -2.963e+01             121.952           4.974e-01             108.982           4.000e+01     
  79.000           0.000            4.958e-01          -2.962e+01             121.389           4.916e-01             109.185           4.000e+01     
  80.000           0.000            4.915e-01          -2.961e+01             120.818           4.872e-01             109.382           4.000e+01     
  81.000           0.000            4.886e-01          -2.960e+01             120.238           4.843e-01             109.575           4.000e+01     
  82.000           0.000            4.872e-01          -2.959e+01             119.650           4.829e-01             109.764           4.000e+01     
  83.000           0.000            4.873e-01          -2.958e+01             119.055           4.830e-01             109.947           4.000e+01     
  84.000           0.000            4.889e-01          -2.958e+01             118.452           4.846e-01             110.126           4.000e+01     
  85.000           0.000            4.919e-01          -2.957e+01             117.843           4.876e-01             110.300           4.000e+01     
  86.000           0.000            4.965e-01          -2.957e+01             117.227           4.922e-01             110.468           4.000e+01     
  87.000           0.000            5.026e-01          -2.957e+01             116.605           4.983e-01             110.632           4.000e+01     
  88.000           0.000            5.102e-01          -2.957e+01             115.977           5.059e-01             110.790           4.000e+01     
  89.000           0.000            5.193e-01          -2.957e+01             115.344           5.151e-01             110.943           4.000e+01     
  90.000           0.000            5.300e-01          -2.957e+01             114.706           5.257e-01             111.091           4.000e+01     
  91.000           0.000            5.421e-01          -2.957e+01             114.063           5.379e-01             111.233           4.000e+01     
  92.000           0.000            5.557e-01          -2.957e+01             113.417           5.515e-01             111.371           4.000e+01     
  93.000           0.000            5.709e-01          -2.958e+01             112.767           5.667e-01             111.503           4.000e+01     
  94.000           0.000            5.875e-01          -2.958e+01             112.114           5.833e-01             111.630           4.000e+01     
  95.000           0.000            6.055e-01          -2.959e+01             111.459           6.014e-01             111.752           4.000e+01     
  96.000           0.000            6.251e-01          -2.960e+01             110.802           6.209e-01             111.869           4.000e+01     
  97.000           0.000            6.460e-01          -2.961e+01             110.143           6.419e-01             111.980           4.000e+01     
  98.000           0.000            6.684e-01          -2.962e+01             109.484           6.643e-01             112.087           4.000e+01     
  99.000           0.000            6.921e-01          -2.963e+01             108.824           6.881e-01             112.189           4.000e+01     
 100.000           0.000            7.173e-01          -2.964e+01             108.164           7.133e-01             112.286           4.000e+01     
 101.000           0.000            7.437e-01          -2.965e+01             107.505           7.398e-01             112.378           4.000e+01     
 102.000           0.000            7.715e-01          -2.967e+01             106.847           7.676e-01             112.466           4.000e+01     
 103.000           0.000            8.006e-01          -2.968e+01             106.190           7.967e-01             112.549           4.000e+01     
 104.000           0.000            8.309e-01          -2.970e+01             105.536           8.271e-01             112.628           4.000e+01     
 105.000           0.000            8.625e-01          -2.972e+01             104.885           8.587e-01             112.702           4.000e+01     
 106.000           0.000            8.952e-01          -2.974e+01             104.237           8.914e-01             112.772           4.000e+01     
 107.000           0.000            9.291e-01          -2.976e+01             103.592           9.254e-01             112.838           4.000e+01     
 108.000           0.000            9.641e-01          -2.978e+01             102.952           9.604e-01             112.900           4.000e+01     
 109.000           0.000            1.000e+00          -2.980e+01             102.316           9.966e-01             112.958           4.000e+01     
 110.000           0.000            1.037e+00          -2.983e+01             101.685           1.034e+00             113.012           4.000e+01     
 111.000           0.000            1.075e+00          -2.985e+01             101.060           1.072e+00             113.063           4.000e+01     
 112.000           0.000            1.115e+00          -2.988e+01             100.441           1.111e+00             113.110           4.000e+01     
 113.000           0.000            1.154e+00          -2.991e+01              99.828           1.151e+00             113.154           4.000e+01     
 114.000           0.000            1.195e+00          -2.994e+01              99.222           1.192e+00             113.195           4.000e+01     
 115.000           0.000            1.237e+00          -2.998e+01              98.624           1.234e+00             113.233           4.000e+01     
 116.000           0.000            1.279e+00          -3.001e+01              98.032           1.276e+00             113.267           4.000e+01     
 117.000           0.000            1.323e+00          -3.005e+01              97.449           1.319e+00             113.299           4.000e+01     
 118.000           0.000            1.366e+00          -3.009e+01              96.874           1.363e+00             113.328           4.000e+01     
 119.000           0.000            1.411e+00          -3.014e+01              96.307           1.408e+00             113.355           4.000e+01     
 120.000           0.000            1.456e+00          -3.018e+01              95.750           1.453e+00             113.379           4.000e+01     
 121.000           0.000            1.502e+00          -3.023e+01              95.201           1.499e+00             113.401           4.000e+01     
 122.000           0.000            1.548e+00          -3.028e+01              94.662           1.545e+00             113.421           4.000e+01     
 123.000           0.000            1.594e+00          -3.034e+01              94.133           1.591e+00             113.439           4.000e+01     
 124.000           0.000            1.641e+00          -3.039e+01              93.613           1.638e+00             113.455           4.000e+01     
 125.000           0.000            1.688e+00          -3.046e+01              93.104           1.685e+00             113.469           4.000e+01     
 126.000           0.000            1.735e+00          -3.052e+01              92.604           1.733e+00             113.482           4.000e+01     
 127.000           0.000            1.783e+00          -3.059e+01              92.116           1.781e+00             113.492           4.000e+01     
 128.000           0.000            1.831e+00          -3.066e+01              91.638           1.828e+00             113.502           4.000e+01     
 129.000           0.000            1.879e+00          -3.074e+01              91.171           1.876e+00             113.510           4.000e+01     
 130.000           0.000            1.927e+00          -3.082e+01              90.715           1.924e+00             113.517           4.000e+01     
 131.000           0.000            1.975e+00          -3.090e+01              90.270           1.972e+00             113.523           4.000e+01     
 132.000           0.000            2.023e+00          -3.099e+01              89.837           2.020e+00             113.527           4.000e+01     
 133.000           0.000            2.070e+00          -3.108e+01              89.415           2.068e+00             113.531           4.000e+01     
 134.000           0.000            2.118e+00          -3.118e+01              89.005           2.116e+00             113.534           4.000e+01     
 135.000           0.000            2.166e+00          -3.129e+01              88.606           2.164e+00             113.536           4.000e+01     
 136.000           0.000            2.213e+00          -3.140e+01              88.219           2.211e+00             113.537           4.000e+01     
 137.000           0.000            2.260e+00          -3.151e+01              87.845           2.258e+00             113.538           4.000e+01     
 138.000           0.000            2.306e+00          -3.163e+01              87.482           2.305e+00             113.538           4.000e+01     
 139.000           0.000            2.352e+00          -3.176e+01              87.132           2.351e+00             113.537           4.000e+01     
 140.000           0.000            2.398e+00          -3.190e+01              86.794           2.397e+00             113.536           4.000e+01     
 141.000           0.000            2.443e+00          -3.204e+01              86.469           2.442e+00             113.535           4.000e+01     
